model,year,mileage,image,color,cost
2017 Chrysler Pacifica,2017,"30,528 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/274/147/8/80550053.jpg?w=197&h=148&q=85&mode=1,Brilliant Black Crystal Pearlcoat,"$19,900"
2017 Chrysler Pacifica,2017,"29,441 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/281/846/9/f516594e.jpg?w=197&h=148&q=85&mode=1,Brilliant Black Crystal Pearlcoat,"$21,794"
2017 Chrysler Pacifica,2017,"59,821 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/015/065/1/41031fa4.jpg?w=197&h=148&q=85&mode=1,Bright White Clearcoat,"$26,694"
2017 Chrysler 300,2017,"12,896 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/471/697/3/901c5425.jpg?w=197&h=148&q=85&mode=1,Ceramic Grey Clearcoat,"$27,495"
2016 Chrysler 200,2016,"31,065 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/794/769/9/b4166406.jpg?w=197&h=148&q=85&mode=1,Bright White Clearcoat,"$15,488"
2015 Chrysler 200,2015,"76,444 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/319/268/4/9d8d075f.jpg?w=197&h=148&q=85&mode=1,Velvet Red Pearlcoat,"$11,900"
2012 Chrysler 300,2012,"41,096 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/132/593/3/8b28859a.jpg?w=197&h=148&q=85&mode=1,Ivory Tri-Coat Pearl,"$28,900"
2012 Chrysler Town & Country,2012,"85,045 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/599/344/4/dc96f3bb.jpg?w=197&h=148&q=85&mode=1,Bright Silver Metallic,"$20,000"
2002 Chrysler Town & Country,2002,5 miles,https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/592/173/5/708686dc.jpg?w=197&h=148&q=85&mode=1,Gray,"$28,290"
2016 Chrysler 300C,2016,"85,420 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/728/526/0/8ec267f2.jpg?w=197&h=148&q=85&mode=1,White,"$18,995"
2020 Chrysler Pacifica,2020,"17,420 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/127/236/3/4af7768d.jpg?w=197&h=148&q=85&mode=1,Gray,"$19,995"
2019 Chrysler 300,2019,"47,877 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/563/016/2/2df74d83.jpg?w=197&h=148&q=85&mode=1,Blue,"$20,499"
2019 Chrysler Pacifica,2019,"38,384 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/610/933/4/ae679f6c.jpg?w=197&h=148&q=85&mode=1,Red,"$20,790"
2019 Chrysler Pacifica,2019,"37,155 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/607/684/0/c9d4e522.jpg?w=197&h=148&q=85&mode=1,White,"$21,790"
2019 Chrysler Pacifica,2019,"38,741 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/619/825/8/b5acc2cd.jpg?w=197&h=148&q=85&mode=1,Gray,"$21,790"
2019 Chrysler 300,2019,"34,736 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/666/851/8/9b3330e6.jpg?w=197&h=148&q=85&mode=1,Gray,"$21,990"
2019 Chrysler 300,2019,"37,197 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/623/115/8/ae0de368.jpg?w=197&h=148&q=85&mode=1,Gray,"$21,995"
2019 Chrysler Pacifica,2019,"42,600 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/199/854/838/7/f91460b5.jpg?w=197&h=148&q=85&mode=1,White,"$23,495"
2019 Chrysler 300,2019,"26,924 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/561/808/8/5f41f74e.jpg?w=197&h=148&q=85&mode=1,White,
2019 Chrysler Pacifica,2019,"37,444 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/200/381/087/6/c375a50b.jpg?w=197&h=148&q=85&mode=1,,
2019 Chrysler 300,2019,"40,652 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/229/252/3/e91e6261.jpg?w=197&h=148&q=85&mode=1,Gray,"$23,589"
2018 Chrysler Pacifica,2018,"56,071 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/555/857/4/f0c14036.jpg?w=197&h=148&q=85&mode=1,Blue,"$16,480"
2018 Chrysler 300,2018,"63,495 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/555/562/8/41fa396f.jpg?w=197&h=148&q=85&mode=1,Gray,"$16,980"
2018 Chrysler 300,2018,"35,300 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/199/774/910/5/37aa6fc1.jpg?w=197&h=148&q=85&mode=1,Silver,"$18,611"
2018 Chrysler Pacifica,2018,"16,435 miles",https://cdcssl.ibsrv.net/cdcx/images/make-icons/chrysler.png,Black,"$22,878"
2018 Chrysler Pacifica,2018,"19,510 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/807/593/0/d718148e.jpg?w=197&h=148&q=85&mode=1,Black,"$23,442"
2018 Chrysler Pacifica,2018,"17,243 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/807/637/0/d8fef090.jpg?w=197&h=148&q=85&mode=1,Silver,"$23,696"
2018 Chrysler Pacifica,2018,"20,470 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/807/710/7/ec9dcbd8.jpg?w=197&h=148&q=85&mode=1,Gray,"$23,734"
2018 Chrysler Pacifica,2018,"10,054 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/807/630/0/e2b94f0e.jpg?w=197&h=148&q=85&mode=1,Silver,"$23,797"
2018 Chrysler Pacifica,2018,"11,814 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/807/621/8/046213a9.jpg?w=197&h=148&q=85&mode=1,White,"$23,988"
2017 Chrysler 300,2017,"15,895 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/554/266/2/800c8844.jpg?w=197&h=148&q=85&mode=1,Black,"$18,499"
2017 Chrysler Pacifica,2017,"31,482 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/807/593/1/f1431ded.jpg?w=197&h=148&q=85&mode=1,Black,"$18,977"
2017 Chrysler Pacifica,2017,"32,873 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/807/592/9/079b410c.jpg?w=197&h=148&q=85&mode=1,Silver,"$19,989"
2017 Chrysler Pacifica,2017,"49,481 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/796/739/0/16b66a6a.jpg?w=197&h=148&q=85&mode=1,White,"$19,994"
2017 Chrysler Pacifica,2017,"26,953 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/322/019/2/3a1592ba.jpg?w=197&h=148&q=85&mode=1,Black,"$19,998"
2017 Chrysler 300,2017,"37,120 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/550/517/9/f6103b24.jpg?w=197&h=148&q=85&mode=1,Black,"$20,995"
2017 Chrysler Pacifica,2017,"35,439 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/807/642/5/31f286a6.jpg?w=197&h=148&q=85&mode=1,White,"$21,450"
2017 Chrysler 300,2017,"26,428 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/649/261/3/07b74e2c.jpg?w=197&h=148&q=85&mode=1,Gray,"$21,995"
2017 Chrysler 300,2017,"21,078 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/565/716/8/c6426bc1.jpg?w=197&h=148&q=85&mode=1,Black,"$22,295"
2017 Chrysler Pacifica,2017,"24,859 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/810/915/1/7a1a6f8b.jpg?w=197&h=148&q=85&mode=1,Blue,"$22,995"
2017 Chrysler Pacifica,2017,"28,153 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/556/692/2/66e44544.jpg?w=197&h=148&q=85&mode=1,Black,"$23,000"
2016 Chrysler 200,2016,"27,351 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/555/541/8/7e19c79e.jpg?w=197&h=148&q=85&mode=1,Gray,"$13,000"
2016 Chrysler 300,2016,"67,347 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/335/142/4/8e160d56.jpg?w=197&h=148&q=85&mode=1,Black,"$15,687"
2016 Chrysler 300,2016,"36,196 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/199/780/279/3/2e77a66e.jpg?w=197&h=148&q=85&mode=1,Black,"$19,600"
2015 Chrysler 200,2015,"126,452 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/677/090/3/11da76c4.jpg?w=197&h=148&q=85&mode=1,Black,"$7,777"
2015 Chrysler 200,2015,"62,369 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/559/975/5/32372c6d.jpg?w=197&h=148&q=85&mode=1,White,"$10,995"
2010 Chrysler Town & Country,2010,"99,989 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/560/048/2/f00f794a.jpg?w=197&h=148&q=85&mode=1,Black,"$7,450"
2017 Chrysler Pacifica,2017,"25,848 miles",https://cdcssl.ibsrv.net/cdcx/images/make-icons/chrysler.png,Gray,"$20,924"
2015 Chrysler 200,2015,"41,327 miles",https://cdcssl.ibsrv.net/cdcx/images/make-icons/chrysler.png,Gray,"$11,937"
2011 Chrysler 200,2011,"78,157 miles",https://cdcssl.ibsrv.net/cdcx/images/make-icons/chrysler.png,Black,
2020 Chrysler 300,2020,"5,764 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/521/635/6/5d843eaf.jpg?w=197&h=148&q=85&mode=1,Black,"$29,990"
2019 Chrysler 300,2019,"32,203 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/441/116/4/31695ce7.jpg?w=197&h=148&q=85&mode=1,Gray,"$20,990"
2019 Chrysler 300,2019,"41,007 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/744/112/9/15e6b935.jpg?w=197&h=148&q=85&mode=1,Gray,"$20,990"
2019 Chrysler 300,2019,"32,351 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/292/345/7/4a9b0c36.jpg?w=197&h=148&q=85&mode=1,Burgundy,"$21,590"
2019 Chrysler 300,2019,"36,885 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/397/642/3/a011430e.jpg?w=197&h=148&q=85&mode=1,Burgundy,"$21,590"
2019 Chrysler 300,2019,"39,263 miles",https://cdcssl.ibsrv.net/ibimg/www.carsdirect.com/201/318/377/2/a17f30a4.jpg?w=197&h=148&q=85&mode=1,Gray,"$21,590"
